model,n_iter,train_error,test_error
Batch Gradient Descent,240,412.14758053163257,416.8505885956256
Batch Gradient Descent,241,410.2192978354007,414.9688437978494
Batch Gradient Descent,242,408.3014264419576,413.09739826406854
Batch Gradient Descent,243,406.3939101230488,411.2361959914604
Batch Gradient Descent,244,404.4966929540914,409.3851812806808
Batch Gradient Descent,245,402.60971931253493,407.5442987342226
Batch Gradient Descent,246,400.7329338762288,405.71349325478246
Batch Gradient Descent,247,398.86628162180097,403.8927100436366
Batch Gradient Descent,248,397.0097078230435,402.0818945990262
Batch Gradient Descent,249,395.1631580493089,400.2809927145503
Batch Gradient Descent,250,393.3265781639122,398.4899504775677
Batch Gradient Descent,251,391.4999143225452,396.70871426760857
Batch Gradient Descent,252,389.6831129716958,394.93723075479335
Batch Gradient Descent,253,387.8761208470785,393.1754468982602
Batch Gradient Descent,254,386.0788849720723,391.4233099446023
Batch Gradient Descent,255,384.291352656166,389.680767426312
Batch Gradient Descent,256,382.5134714934151,387.9477671602346
Batch Gradient Descent,257,380.7451893609031,386.2242572460293
Batch Gradient Descent,258,378.9864544172137,384.51018606464
Batch Gradient Descent,259,377.23721510090985,382.80550227677276
Batch Gradient Descent,260,375.4974201290233,381.11015482138265
Batch Gradient Descent,261,373.76701849554865,379.4240929141681
Batch Gradient Descent,262,372.0459594699489,377.74726604607423
Batch Gradient Descent,263,370.3341925956673,376.07962398180274
Batch Gradient Descent,264,368.6316676886475,374.4211167583317
Batch Gradient Descent,265,366.93833483586246,372.77169468344175
Batch Gradient Descent,266,365.2541443938498,371.13130833425174
Batch Gradient Descent,267,363.5790469872565,369.4999085557607
Batch Gradient Descent,268,361.91299350739126,367.8774464593991
Batch Gradient Descent,269,360.2559351107837,366.263873421587
Batch Gradient Descent,270,358.6078232177521,364.6591410823005
Batch Gradient Descent,271,356.9686095109792,363.0632013436459
Batch Gradient Descent,272,355.3382459340947,361.47600636844095
Batch Gradient Descent,273,353.71668469026616,359.8975085788047
Batch Gradient Descent,274,352.10387824079766,358.3276606547549
Batch Gradient Descent,275,350.4997793037351,356.76641553281144
Batch Gradient Descent,276,348.9043408524803,355.2137264046097
Batch Gradient Descent,277,347.3175161144106,353.66954671551963
Batch Gradient Descent,278,345.73925856950916,352.1338301632729
Batch Gradient Descent,279,344.16952194899903,350.60653069659793
Batch Gradient Descent,280,342.6082602339873,349.0876025138608
Batch Gradient Descent,281,341.0554276541146,347.57700006171564
Batch Gradient Descent,282,339.51097868621423,346.0746780337608
Batch Gradient Descent,283,337.97486805297547,344.58059136920224
Batch Gradient Descent,284,336.44705072161736,343.09469525152514
Batch Gradient Descent,285,334.92748190256674,341.61694510717194
Batch Gradient Descent,286,333.41611704814596,340.14729660422796
Batch Gradient Descent,287,331.91291185126533,338.68570565111327
Batch Gradient Descent,288,330.417822244125,337.232128395283
Batch Gradient Descent,289,328.930804396921,335.7865212219334
Batch Gradient Descent,290,327.4518147165619,334.348840752716
Batch Gradient Descent,291,325.9808098453889,332.9190438444573
Batch Gradient Descent,292,324.5177466599045,331.4970875878869
Batch Gradient Descent,293,323.0625822695085,330.0829293063715
Batch Gradient Descent,294,321.6152740152399,328.6765265546565
Batch Gradient Descent,295,320.17577946852555,327.2778371176136
Batch Gradient Descent,296,318.74405642993634,325.8868190089955
Batch Gradient Descent,297,317.3200629279496,324.50343047019743
Batch Gradient Descent,298,315.90375721771795,323.12762996902575
Batch Gradient Descent,299,314.4950977798454,321.7593761984723
Batch Gradient Descent,300,313.09404331916954,320.3986280754959
Batch Gradient Descent,301,311.7005527635508,319.0453447398107
Batch Gradient Descent,302,310.3145852626677,317.6994855526804
Batch Gradient Descent,303,308.936100186819,316.36101009571973
Batch Gradient Descent,304,307.565057125732,315.02987816970176
Batch Gradient Descent,305,306.20141588737795,313.706049793372
Batch Gradient Descent,306,304.8451364967929,312.38948520226916
Batch Gradient Descent,307,303.49617919490566,311.08014484755137
Batch Gradient Descent,308,302.15450443737154,309.77798939482994
Batch Gradient Descent,309,300.82007289341306,308.48297972300844
Batch Gradient Descent,310,299.49284544466644,307.19507692312885
Batch Gradient Descent,311,298.17278318403413,305.9142422972232
Batch Gradient Descent,312,296.8598474145441,304.6404373571719
Batch Gradient Descent,313,295.55399964821515,303.3736238235679
Batch Gradient Descent,314,294.2552016049276,302.1137636245879
Batch Gradient Descent,315,292.96341521130154,300.860818894868
Batch Gradient Descent,316,291.67860259957956,299.61475197438705
Batch Gradient Descent,317,290.4007261065167,298.3755254073553
Batch Gradient Descent,318,289.1297482722757,297.14310194110897
Batch Gradient Descent,319,287.86563183932856,295.9174445250109
